1    14041401    06,11,03,07,01
2    14041402    02,03,08,10,05
3    14041403    04,07,11,06,05
4    14041404    05,03,04,02,07
5    14041405    03,06,08,01,04
6    14041406    08,07,09,04,10
7    14041407    07,10,06,04,01
8    14041408    01,07,10,09,06
9    14041409    05,01,03,06,09
10    14041410    03,06,08,07,09
11    14041411    01,08,02,11,03
12    14041412    10,05,09,01,08
13    14041413    01,09,07,10,03
14    14041414    10,01,02,06,05
15    14041415    11,05,03,09,07
16    14041416    11,04,08,10,01
17    14041417    08,06,01,04,03
18    14041418    06,02,03,05,04
19    14041419    09,10,03,02,01
20    14041420    04,02,06,11,03
21    14041421    05,03,07,09,06
22    14041422    08,03,06,02,09
23    14041423    04,11,07,01,02
24    14041424    08,04,06,07,03
25    14041425    07,11,01,05,09
26    14041426    01,02,03,07,04
27    14041427    02,10,06,03,11
28    14041428    10,07,11,06,02
29    14041429    05,01,07,10,11
30    14041430    07,05,04,08,01
31    14041431    11,01,02,10,08
32    14041432    08,03,04,02,10
33    14041433    10,11,08,03,09
34    14041434    05,01,11,04,02
35    14041435    06,04,01,09,11
36    14041436    04,05,01,06,11
37    14041437    05,11,04,03,02
38    14041438    11,02,10,05,08
39    14041439    11,03,02,04,05
40    14041440    04,02,06,10,03
41    14041441    07,03,09,08,02
42    14041442    03,02,10,04,06
43    14041443    07,11,08,10,01
44    14041444    02,09,03,08,11
45    14041445    08,02,01,10,06
46    14041446    10,11,03,06,07
47    14041447    03,05,10,08,07
48    14041448    10,06,03,05,11
49    14041449    05,06,01,04,07
50    14041450    07,04,08,02,03
51    14041451    11,05,01,07,10
52    14041452    11,05,09,06,04
53    14041453    03,05,02,09,04
54    14041454    05,04,03,08,10
55    14041455    05,11,03,10,01
56    14041456    02,03,07,06,08
57    14041457    11,06,05,03,08
58    14041458    05,02,01,07,03
59    14041459    06,08,11,02,05
60    14041460    08,06,05,09,02
61    14041461    06,10,04,08,07
62    14041462    06,04,03,11,01
63    14041463    03,07,01,10,04
64    14041464    01,10,04,05,03
65    14041465    08,05,07,02,10
66    14041466    02,01,05,08,10
67    14041467    06,02,11,09,01
68    14041468    09,10,07,06,03
69    14041469    10,09,02,07,05
70    14041470    10,01,05,04,03
71    14041471    08,01,04,05,02
72    14041472    08,04,07,06,05
73    14041473    11,01,08,07,03
74    14041474    08,07,09,11,10
75    14041475    08,04,11,05,02
76    14041476    03,04,07,10,05
77    14041477    07,08,09,11,04
78    14041478    06,07,01,04,11
79    14041501    11,08,10,06,02
80    14041502    03,02,04,06,10
81    14041503    01,06,02,10,11
82    14041504    10,05,06,11,07
83    14041505    11,03,07,08,04
84    14041506    03,11,08,09,04
85    14041507    10,09,02,05,04
86    14041508    01,02,03,11,06
87    14041509    02,07,05,11,06
88    14041510    11,06,04,07,05
89    14041511    02,10,01,05,09
90    14041512    01,08,09,10,04
91    14041513    02,03,11,04,07
92    14041514    05,10,04,08,01
93    14041515    11,04,01,08,09
94    14041516    06,08,10,01,04
95    14041517    02,11,03,10,05
96    14041518    04,05,03,06,09
97    14041519    08,05,01,11,02
98    14041520    11,04,09,03,01
99    14041521    01,06,11,10,04
100    14041522    09,04,02,03,01
101    14041523    03,06,01,08,02
102    14041524    07,04,10,09,02
103    14041525    10,02,01,09,03
104    14041526    08,05,07,04,11
105    14041527    02,09,07,10,06
106    14041528    11,04,07,09,08
107    14041529    01,05,07,02,04
108    14041530    02,05,06,10,03
109    14041531    06,04,09,03,11
110    14041532    05,07,09,03,10
111    14041533    10,08,09,07,01
112    14041534    09,06,02,01,08
113    14041535    02,04,08,06,09
114    14041536    02,07,10,01,06
115    14041537    11,04,08,03,10
116    14041538    10,01,09,08,11
117    14041539    11,02,06,08,07
118    14041540    02,03,11,04,05
119    14041541    03,06,01,10,08
120    14041542    07,10,05,11,09
121    14041543    11,06,09,07,04
122    14041544    03,11,06,01,09
123    14041545    11,08,09,04,03
124    14041546    08,07,03,09,10
125    14041547    09,06,04,05,01
126    14041548    04,02,03,07,10
127    14041549    07,01,02,03,06
128    14041550    01,11,02,03,08
129    14041551    06,02,03,09,07
130    14041552    07,02,05,04,03
131    14041553    03,11,04,02,10
132    14041554    07,02,09,10,01
133    14041555    09,03,08,02,07
134    14041556    04,07,10,03,09
135    14041557    10,08,06,03,04
136    14041558    01,04,10,09,03
137    14041559    06,07,05,02,03
138    14041560    08,05,04,10,01
139    14041561    10,01,02,06,03
140    14041562    04,09,01,02,06
141    14041563    01,09,08,03,11
142    14041564    11,08,03,06,01
143    14041565    04,09,02,08,03
144    14041566    08,03,04,05,02
145    14041567    07,06,11,04,02
146    14041568    04,07,11,09,06
147    14041569    05,06,02,11,07
148    14041570    08,03,10,02,01
149    14041571    10,11,06,05,04
150    14041572    03,04,02,01,09
151    14041573    06,05,07,11,03
152    14041574    04,10,08,07,11
153    14041575    07,03,08,09,10
154    14041576    05,09,08,03,04
155    14041577    05,02,01,07,04
156    14041578    02,11,01,08,03
157    14041601    02,11,03,06,08
158    14041602    09,10,07,03,11
159    14041603    05,10,01,09,02
160    14041604    08,11,02,07,04
161    14041605    03,09,10,05,08
162    14041606    03,09,08,06,02
163    14041607    03,02,05,08,07
164    14041608    07,01,09,11,04
165    14041609    01,02,07,04,03
166    14041610    11,04,10,07,06
167    14041611    04,05,10,09,07
168    14041612    11,09,04,01,02
169    14041613    09,10,02,05,08
170    14041614    02,06,10,03,09
171    14041615    06,04,09,01,07
172    14041616    05,04,11,08,09
173    14041617    05,06,03,01,11
174    14041618    06,01,04,05,02
175    14041619    09,06,03,05,01
176    14041620    05,09,02,07,10
177    14041621    07,01,02,04,03
178    14041622    09,04,05,01,10
179    14041623    02,05,07,04,01
180    14041624    11,04,08,07,02
181    14041625    02,05,01,09,11
182    14041626    04,11,05,07,02
183    14041627    10,02,03,06,05
184    14041628    04,03,10,05,11
185    14041629    05,08,11,01,04
186    14041630    02,10,04,06,07
187    14041631    11,07,03,01,10
188    14041632    11,09,03,01,10
189    14041633    09,10,11,07,04
190    14041634    09,08,06,05,10
191    14041635    01,06,02,09,05
192    14041636    11,07,09,04,10
193    14041637    05,01,02,04,09
194    14041638    03,08,06,05,11
195    14041639    11,02,05,04,07
196    14041640    07,09,08,03,02
